id,State,match,year,Population,Violent_Crime_rate,MNMR,MNMR_rank,rape,rape_rank,robbery_rate,robbery_rate_rank,assault_rate,assault_rate_rank,property_crime_rate,property_crime_rate_rank,burglary_rate,burglary_rate_rank,larceny_theft_rate,larceny_theft_rate_rank,motor_vehicle_theft_rate,motor_vehicle_theft_rate_rank
IA,Iowa,19,1969,2781000,69,1.4,50,6.4,46,22.4,41,38.8,47,2183.5,37,489.1,45,1516.9,32,177.5,39
ME,Maine,23,1969,978000,74.9,1.6,49,5.9,47,11.3,48,56,42,1866.3,44,580,39,1142.7,41,143.6,43
ID,Idaho,16,1969,718000,112.3,1.9,47,10,40,16.7,44,83.6,35,2616,29,590,38,1894.6,20,131.5,45
MN,Minnesota,27,1969,3700000,142,1.9,48,11.5,35,81.5,22,47.1,45,2934.7,25,779.4,25,1771,25,384.3,22
SD,South Dakota,46,1969,659000,77.4,2,46,11.1,37,12.9,47,51.4,44,1754.5,46,425,48,1223.5,38,105.9,48
WI,Wisconsin,55,1969,4233000,80.6,2.1,45,7.2,44,28.3,40,43.1,46,2407.5,33,498.5,44,1685.1,27,223.9,37
NE,Nebraska,31,1969,1449000,158.9,2.5,41,6.8,45,51.8,32,97.8,29,2292.4,36,482.3,46,1525.6,31,284.5,31
NH,New Hampshire,33,1969,717000,45.3,2.5,42,4,50,10.5,49,28.3,50,1465.3,48,463.3,47,858.7,48,143.2,44
UT,Utah,49,1969,1045000,139.7,2.5,43,14.1,25,49,35,74.2,39,3888.2,15,848.5,22,2742,5,297.7,29
VT,Vermont,50,1969,439000,53.3,2.5,44,9.1,41,9.3,50,32.3,49,1518,47,599.5,37,805.5,49,113,46
CT,Connecticut,10,1969,3000000,147.2,2.9,40,8.7,43,56.5,30,79.1,38,3078.3,21,987.5,17,1663,30,427.8,18
RI,Rhode Island,44,1969,911000,175,3.1,39,4,51,73.4,25,94.5,30,3953.8,13,982.4,18,2148.2,16,823.2,3
HI,Hawaii,15,1969,794000,86.1,3.4,38,12.2,31,35.5,39,35,48,4446.7,5,1304.8,7,2606,7,535.9,10
KS,Kansas,20,1969,2321000,166.9,3.5,36,15.1,23,54.8,31,93.5,31,2971.2,24,693.3,33,2049.9,18,228,36
MA,Massachusetts,25,1969,5467000,187.9,3.5,37,10.8,39,90.6,19,82.9,36,3290.7,19,1032.6,16,1399.3,35,858.8,2
MT,Montana,30,1969,694000,98.3,3.6,34,11.1,38,22.2,42,61.4,41,2591.4,31,561.8,43,1813.7,23,215.9,38
WA,Washington,53,1969,3402000,242.3,3.6,35,19.4,13,113,14,106.3,27,4393.5,6,1296.5,9,2716.4,6,380.7,24
OR,Oregon,41,1969,2032000,222.8,4,33,18.3,16,86.6,21,113.9,24,3987,12,1124.7,12,2543.9,10,318.5,27
PA,Pennsylvania,42,1969,11803000,193.9,4.1,32,12.1,32,90.6,20,87.1,33,1823.9,45,577.7,40,941.4,47,304.8,28
IN,Indiana,18,1969,5118000,198.1,5,31,16.9,19,93.6,18,82.7,37,2891.2,26,819,23,1677.8,28,394.5,20
NJ,New Jersey,34,1969,7148000,241,5.2,30,12.8,29,135.1,10,87.9,32,2989.7,23,953,19,1515.6,33,521,11
